Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Сіробаба,Гордій,Макарович,Чоловік,1958-02-11,Ветеринар,село Севастополь,"вулиця Івана Франка, буд. 85 кв. 583, Верхівцеве, 85124",+380 22 991-36-05,virausyk@example.org
Рябченко,Климент,Олександрович,Чоловік,1971-11-14,Євнух,селище Святогірськ,"вулиця Наявний 5-й, буд. 1, Тлумач, 01953",926-13-59,shvedchenkoielysaveta@example.com
Євтушок,Леонід,Григорович,Чоловік,1996-04-13,Геолог,хутір Радехів,"проспект Стельмаха, буд. 505 кв. 84, Глухів, 50357",+380 52 251-35-08,piatachenkoteodor@example.org
Тесля,Соломон,Олексійович,Чоловік,1984-08-04,Хімік,місто Прилуки,"узвіз Овідіопольська дорога, буд. 070 кв. 89, Сміла, 80340",+380 31 321-68-71,rakvarvara@example.com
Аврамчук,Варфоломій,Богданович,Чоловік,1962-12-19,Кухар,місто Лохвиця,"площа ім. С.Ю. Вітте, буд. 005, Городня, 49289",+380 23 002-40-44,schervonenko@example.org
Шинкаренко,Августин,Олегович,Чоловік,1974-09-10,Актор,селище Буринь,"провулок Лермонтовський, буд. 44 кв. 2, Вознесенськ, 54389",+380 21 279 42 86,oleksa76@example.net
Рак,Симон,Григорович,Чоловік,1954-08-26,Футболіст,село Тячів,"проспект Кісельова Ігоря, буд. 50, Коломия, 93848",+380 94 275 19 49,dzhunherman@example.com
Гавриш,Лесь,Андрійович,Чоловік,2003-07-21,Електротехнік,місто Севастополь,"провулок Поїзна, буд. 29 кв. 0, Богуслав, 55605",098 758-44-41,ldavydenko@example.com
Єщенко,Богуслав,Юрійович,Чоловік,1996-06-18,Стропальник,село Христинівка,"проспект Агрономічний, буд. 8 кв. 84, Зіньків, 17279",594-85-30,taras08@example.org
Павленко,Євген,Олегович,Чоловік,1998-05-08,Фотограф,село Горохів,"набережна Академічний, буд. 9, Кам'янка (Черкаська область), 12263",+380 (14) 047-53-19,vira91@example.com
Гайденко,Борислав,Павлович,Чоловік,1986-12-05,Музичний редактор,село Вишгород,"узвіз Лінія 49-та, буд. 85, Липовець, 27119",201 48 69,okhrim81@example.com
Бандера,Пармен,Володимирович,Чоловік,1991-12-01,Реставратор,селище Миколаїв,"шосе Старокінний, буд. 3, Апостолове, 94662",+380 55 537 36 39,bandurkapavlo@example.com
Чуйко,Адам,Вікторович,Чоловік,1944-03-15,Фермер,хутір Козятин,"площа Елеваторна, буд. 529, П'ятихатки, 50536",070 617 30 30,solomiiaolifirenko@example.net
Акименко,Орхип,Степанович,Чоловік,1950-08-10,Режисер,село Носівка,"узвіз Весняна, буд. 6, Амвросіївка, 05164",+380 24 657 58 26,vernyhoraerika@example.net
Тичина,Богуслав,Вікторович,Чоловік,1991-09-24,Модель,місто Ізмаїл,"провулок Висока, буд. 501 кв. 2, Ковель, 38095",+380 63 040-30-88,nazar06@example.com
Жаліло,Роман,Олександрович,Чоловік,2003-09-26,Режисер,село Новомиргород,"вулиця Чорноморський 8-й, буд. 40 кв. 3, Боярка, 44125",+380 60 668 55 29,ubabii@example.net
Чалий,Симон,Олександрович,Чоловік,1982-10-07,Дизайнер,селище Амвросіївка,"парк Головківська, буд. 372, Федорівка, 44706",033 663-34-85,volodymyra55@example.com
Чекалюк,Едуард,Федорович,Чоловік,2003-08-23,Доцент,хутір Черкаси,"шосе П'ята, буд. 088 кв. 36, Алмазна, 11929",+380 11 307 96 46,izhakviktor@example.net
Товстоліс,Дмитро,Олександрович,Чоловік,1949-01-11,Антрополог,місто Вишгород,"вулиця Садовського, буд. 747 кв. 0, Калуш, 58114",+380 57 380-82-36,veniiamyn15@example.org
Карпенко,Геннадій,Макарович,Чоловік,1977-12-06,Геолог,хутір Богуслав,"шосе Восьмого березня узвіз, буд. 353, Олевськ, 02614",073 823-77-14,ltychyna@example.org
Журавель,Мирослав,Сергійович,Чоловік,2001-04-02,Ґрунтознавець,село Курахове,"проспект Кордонна, буд. 739, Світловодськ, 03669",+380 44 405-02-54,leopoldbabko@example.net
Щорс,Нестор,Олександрович,Чоловік,1978-12-26,Актор,місто Миронівка,"вулиця Відважних, буд. 057 кв. 91, Чернігів, 93575",758-25-67,viraieremenko@example.com
Артим,Соломон,Вікторович,Чоловік,1961-11-23,Геофізик,селище Мена ,"парк Білоруська, буд. 76 кв. 016, Хирів, 26117",029 311 72 77,mykhailo90@example.org
Бакуменко,Тарас,Вікторович,Чоловік,1958-03-10,Антрополог,хутір Гайворон,"проспект Макарова, буд. 95, Корюківка, 01604",+380 22 421 43 97,stanislav90@example.net
Нестайко,Прохір,Олегович,Чоловік,1966-09-07,Кухар,місто Бобровиця,"набережна 8-ма Лінія Дачі Ковалевського, буд. 39 кв. 0, Тиврів, 78700",033 481-30-48,aivanenko@example.com
Усик,Йосип,Григорович,Чоловік,1959-01-27,Модельєр,хутір Моспине,"площа Отамана Головатого, буд. 034 кв. 346, Федорівка, 40162",+380 91 429-51-05,shcherbanalla@example.net
Конопля,Сергій,Федорович,Чоловік,1988-03-27,Реабілітолог,селище Старий Крим,"вулиця Данькевича, буд. 304, Саки , 98036",281 75 49,rubanlarysa@example.org
Деркач,Хома,Богданович,Чоловік,1982-12-26,Програміст,село Іллінці,"узвіз Кінна, буд. 775, Шостка, 02483",081 311-27-72,qkybkalo@example.org
Гупало,Онисим,Олегович,Чоловік,1964-10-24,Геофізик,селище Дніпрорудне,"вулиця Оранжерейний, буд. 9 кв. 1, Горлівка, 86755",005 737-41-48,vasylhavriushenko@example.net
Сімашкевич,Руслан,Андрійович,Чоловік,2000-02-08,Бібліограф,місто Дубровиця,"сквер Зоринська, буд. 56, Камінь-Каширський, 18913",+380 69 840-38-97,dmytroshcherbak@example.org
Уманець,Аарон,Васильович,Чоловік,2005-04-14,Журналіст,село Куп'янськ,"провулок Горбатий міст, буд. 437 кв. 3, Косів, 14871",086 386 94 90,everes@example.net
Засядько,Леон,Олександрович,Чоловік,2004-05-05,Клавішник,місто Радивилів,"шосе Кондрашина, буд. 939, Носівка, 13412",076 534-61-79,sahalzakhar@example.org
Уманець,Омелян,Іванович,Чоловік,1955-06-20,Водій,селище Славутич,"вулиця Польова, буд. 1, Донецьк, 27591",+380 (28) 831-46-35,shyianihor@example.org
Вергун,Марко,Романович,Чоловік,1965-08-19,Шериф,село Іллінці,"вулиця Удільний, буд. 4 кв. 7, Галич, 36970",168-00-05,solomiiavertyporokh@example.org
Литвиненко,Захар,Олександрович,Чоловік,1987-06-25,Епідеміолог,місто Кілія,"узвіз Іспанська, буд. 259, Мостиська, 60471",+380 35 184 20 09,zhurbaolena@example.net
Ватаманюк,Зиновій,Федорович,Чоловік,1965-01-12,Співак,місто Камінь-Каширський,"проспект Хаджибейський 2-й, буд. 5 кв. 43, Мена , 35446",+380 (93) 649-36-01,boleslav27@example.net
Гаврилишин,Семен,Дмитрович,Чоловік,1992-06-03,Скульптор,селище Бахмач,"узвіз Сосюри, буд. 797 кв. 70, Вознесенівка, 26325",+380 (29) 785-49-13,khrystynaievtushok@example.com
Андрейко,Франц,Макарович,Чоловік,1999-11-30,Реабілітолог,село Довжанськ,"провулок Маршала Бабаджаняна, буд. 98 кв. 54, Борзна, 12398",+380 08 954-00-18,violetta44@example.com
Єресько,Леопольд,Михайлович,Чоловік,1978-05-08,Футболіст,селище Вільнянськ,"провулок Лінія 42-га, буд. 79 кв. 212, Новий Калинів, 52740",049 833-54-53,demydzhuravel@example.com
Ажажа,Геннадій,Дмитрович,Чоловік,1952-10-30,Педагог,селище Сміла,"провулок Калинова, буд. 325, Угнів, 78415",+380 40 669 35 01,vladyslav39@example.net
Гавришкевич,Назар,Степанович,Чоловік,1969-03-08,Нотаріус,хутір Канів,"провулок Студентський 1-й, буд. 41, Гайсин, 98707",+380 85 407-52-51,ilienkomilena@example.com
Ісаєвич,Геннадій,Дмитрович,Чоловік,1960-09-15,Локсмайстер,місто Арциз,"набережна Аеропортівський 3-й, буд. 45, Довжанськ, 25190",461-44-11,edyta84@example.org
Товстоліс,Феофан,Михайлович,Чоловік,1940-01-25,Державний службовець,місто Тячів,"площа Бригадна, буд. 35, Петрово-Красносілля, 84515",260 47 81,zynoviibarabash@example.org
Данько,Андрій,Дмитрович,Чоловік,2008-03-06,Конструктор,хутір Баранівка,"шосе Восьмого Березня Лінія 3-тя, буд. 5, Амвросіївка, 04747",+380 06 458 27 44,albertkhrystych@example.com
Тесля,Андрій,Степанович,Чоловік,1963-12-02,Фрілансер,хутір Дергачі,"провулок Промисловий, буд. 59 кв. 94, Яремче, 51348",024 889-50-98,davydenkolukian@example.net
Скиба,Давид,Михайлович,Чоловік,1988-04-28,Нотаріус,селище Алупка,"провулок 11-та ст. Великого Фонтану пляж, буд. 1 кв. 7, Вугледар, 61872",500 89 15,zkolesnychenko@example.org
Назаренко,Захар,Михайлович,Чоловік,1944-06-20,Секретар,селище Карлівка,"шосе Деволанівський узвіз, буд. 410 кв. 672, Тетіїв, 22291",495 86 37,kovaliukazar@example.org
Якимчук,Остап,Романович,Чоловік,1996-10-27,Математик,село Щолкіне,"провулок Сьома, буд. 68 кв. 73, Кременчук, 82659",+380 45 042-22-79,stefanchekaliuk@example.net
Гайдабура,Альберт,Павлович,Чоловік,1973-10-09,Юрист,село Жашків,"парк Кладовищенська, буд. 011 кв. 484, Львів, 62877",+380 09 024-22-86,babarychenkotaras@example.org
Терещук,Пилип,Юрійович,Чоловік,2003-12-03,Зоолог,селище Сновськ,"узвіз Марата 1-й, буд. 7, Одеса, 56048",+380 90 652 66 94,pylypenkoparmen@example.org
Скоробогатько,Володимир,Васильович,Чоловік,1967-08-31,Машиніст,хутір Джанкой,"узвіз Василя Кандинського 1-й, буд. 81, Гуляйполе, 62573",+380 86 203 16 12,tsybulenkoalbert@example.net
Акуленко,Нестор,Романович,Чоловік,2003-07-26,Ветеринар,селище Гадяч,"сквер Чорноморка, буд. 99, Сторожинець, 63933",+380 (31) 414-74-79,valeriialeksandrenko@example.com
Ященко,Арсен,Павлович,Чоловік,2005-06-05,Реставратор,хутір Монастирище,"вулиця Короткий, буд. 94, Знам'янка, 76587",+380 13 932-81-62,viterorest@example.com
Шеремет,Святослав,Олександрович,Чоловік,1953-07-27,Гицель,хутір Ватутіне,"парк Крайня, буд. 37, Помічна, 13501",839-73-62,nosenkoedyta@example.com
Кириленко,Зорян,Олексійович,Чоловік,1944-01-02,Петрограф,село Трускавець,"площа Орловський, буд. 181, Щастя , 34531",+380 86 129-99-52,omelian53@example.org
Удовиченко,Тарас,Юрійович,Чоловік,1969-09-03,Гірник,селище Радивилів,"набережна Кутова, буд. 040, Ромни, 27846",+380 39 349-48-40,panteleimonshakhrai@example.org
Вернидуб,Устим,Павлович,Чоловік,1991-06-16,Публіцист,місто Теплодар,"площа Харківська, буд. 724, Конотоп, 70996",387 00 67,kkolesnychenko@example.org
Артюшенко,Франц,Романович,Чоловік,1961-10-24,Живописець,село Берестечко,"площа Космонавтів, буд. 5 кв. 559, Біляївка, 52913",+380 51 226-99-66,avhustyn56@example.org
Дейсун,Микита,Романович,Чоловік,1960-10-22,Математик,хутір Алчевськ,"шосе Академіка Глушка, буд. 712, Березне, 43592",+380 15 871-28-45,makohonvladyslav@example.net
Москаль,Назар,Вікторович,Чоловік,1983-10-15,Інженер,місто Підгородне,"проспект Висока, буд. 164 кв. 3, Пирятин, 79602",+380 71 432-38-64,vladyslav56@example.net
Романчук,Леопольд,Федорович,Чоловік,1986-11-28,Менеджер,селище Брянка,"узвіз Дальницьке, буд. 697 кв. 76, Семенівка, 26055",+380 68 350-19-10,valerii95@example.net
Ємельяненко,Спас,Олегович,Чоловік,2007-03-04,Слідчий,місто Рожище,"парк Дністровська, буд. 02, Сквира, 65111",+380 70 772-07-25,leonid00@example.org
Ейбоженко,Валентин,Степанович,Чоловік,1951-05-21,Електрик,місто Луганськ,"узвіз Амурський 1-й, буд. 26, Бахмач, 75045",077 483-95-28,stetstereza@example.net
Сірко,Григорій,Степанович,Чоловік,1971-03-27,Слідчий,село Полтава,"парк Георгія Гамова, буд. 9 кв. 2, Сорокине, 32794",617 79 17,rostyslavatamaniuk@example.org
Тичина,Онисим,Федорович,Чоловік,1988-05-09,Ювелір,селище Ковель,"парк Генуезька, буд. 5, Вишневе , 97537",+380 (70) 534-89-06,xdanylenko@example.org
Романець,Геннадій,Володимирович,Чоловік,1953-09-24,Археолог,хутір Миргород,"узвіз Сурикова, буд. 939, Сколе, 23521",+380 35 845-66-09,rostyslavmasliak@example.com
Сіробаба,Артем,Олександрович,Чоловік,1943-02-03,Мінералог,селище Збараж,"вулиця Багрицького, буд. 1, Миргород, 54364",157-70-67,sviatoslava07@example.net
Демʼянюк,Яків,Юрійович,Чоловік,1986-05-21,Випробувач,село Перевальськ,"проспект Любашівський, буд. 332 кв. 47, Балта, 84093",018 474-60-00,iverkhola@example.net
Вітрук,Венедикт,Федорович,Чоловік,1983-07-12,Мікробіолог,селище Соснівка ,"набережна Тираспольське, буд. 2 кв. 030, Сквира, 25164",033 510 96 14,hryhoriiartym@example.com
Шведченко,Юстим,Андрійович,Чоловік,1960-07-12,Машиніст,хутір Арциз,"проспект Учнівська, буд. 71, Вишгород, 16466",008 425-88-80,valentyna38@example.net
Шморгун,Гаврило,Юрійович,Чоловік,1973-03-17,Детектив,хутір Костянтинівка,"площа Дворянська, буд. 4, Дебальцеве, 94447",009 353 53 53,khomenkoiaroslava@example.net
Ємець,Гліб,Михайлович,Чоловік,1966-01-18,Композитор,селище Вижниця,"узвіз Тимірязєва, буд. 66 кв. 0, Яворів, 43523",629 38 48,demydandriiovych@example.com
Гайдабура,Онисим,Макарович,Чоловік,1980-01-05,Астронавт,село Мерефа,"площа Паустовського, буд. 74 кв. 56, Корець, 79298",+380 16 359-91-89,ihrechanyk@example.org
Журба,Валентин,Петрович,Чоловік,1944-06-25,Перекладач,селище Червоноград,"площа Сільська, буд. 26 кв. 8, Самбір, 12366",548-53-34,roksolana93@example.net
Охріменко,Болеслав,Григорович,Чоловік,1953-08-03,Намотувальник,селище Перемишляни,"узвіз Стражеска Миколи, буд. 92, Новогродівка, 16804",+380 (43) 937-06-04,chekaliukavhustyn@example.com
Байдак,Августин,Федорович,Чоловік,1967-06-19,Паблік рилейшнз,село Полтава,"сквер Іванова 1-й, буд. 324 кв. 2, Чоп, 39691",035 50 81,opanasenkozlatoslava@example.org
Баран,Лесь,Андрійович,Чоловік,1968-04-05,Лікар,хутір Обухів,"парк Андросовський, буд. 755, Новгород-Сіверський, 97413",027 549-00-50,redkoihor@example.net
Іщак,Віктор,Володимирович,Чоловік,1979-05-29,Прокурор,селище Андрушівка,"вулиця Білоруська, буд. 81, Бобровиця, 31078",+380 (36) 953-84-16,petrykvolodymyra@example.com
Малик,Сергій,Романович,Чоловік,1946-05-05,Програміст,місто Рубіжне,"шосе Училищна, буд. 6 кв. 7, Хрестівка, 47390",033 961-96-57,tsymbalrostyslav@example.net
Смик,Онисим,Дмитрович,Чоловік,1941-09-05,Кінорежисер,хутір Вугледар,"провулок Радісна, буд. 3 кв. 779, Ананьїв, 71516",043 231 81 37,mykhaliukrozaliia@example.net
Баклан,Ростислав,Юрійович,Чоловік,2001-06-13,Науковець,хутір Копичинці,"площа 6-та Лінія Марії Демченко, буд. 994 кв. 33, Мукачево, 75639",+380 35 139-51-44,semenchenkodemian@example.com
Запорожець,Сергій,Володимирович,Чоловік,1945-02-12,Головний меркшейдер,місто Ізмаїл,"шосе Польова, буд. 164, Середина-Буда, 73457",+380 (39) 643-62-73,pavlo89@example.net
Закусило,Арсен,Вікторович,Чоловік,1963-12-11,Клавішник,хутір Генічеськ,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 834, Часів Яр, 13879",071 348-95-38,danna28@example.net
Ватаманюк,Валерій,Федорович,Чоловік,1955-06-09,Мікробіолог,місто Добромиль,"проспект 13-та ст. Великого Фонтану пляж, буд. 7, Київ, 21021",050 593 74 23,zorianmalyk@example.net
Безбородько,Ілля,Васильович,Чоловік,1988-03-27,Композитор,селище Іловайськ,"проспект Єфімова, буд. 89 кв. 6, Кролевець, 68460",+380 (96) 730-99-24,eduardvalenko@example.org
Єсипенко,Леон,Григорович,Чоловік,1977-11-09,Дипломат,хутір Татарбунари,"набережна Удільний, буд. 641 кв. 4, Хмільник, 57454",497 50 37,amaliia95@example.net
Товстоліс,Едуард,Андрійович,Чоловік,1973-01-01,Складальник,селище Ровеньки,"площа Посівна, буд. 61 кв. 71, Червоноград, 29766",028 483-98-19,akymenkovitalii@example.com
Іващенко,Демʼян,Степанович,Чоловік,2003-02-25,Астронавт,місто Волочиськ,"узвіз Амбулаторна, буд. 168, Івано-Франківськ, 09921",+380 53 834 10 50,dashkevychsolomon@example.org
Павличенко,Марко,Макарович,Чоловік,1997-06-17,Доцент,селище Ромни,"провулок Аеропортівський 6-й, буд. 4 кв. 998, Павлоград, 18988",229 82 97,volodymyr62@example.com
Євтушок,Степан,Олегович,Чоловік,1993-11-30,Гірничий інженер,село Привілля,"набережна Дача Ковалевського, буд. 402, Христинівка, 95646",742-90-22,ielysavetakhorishko@example.com
Ковалюк,Теодор,Павлович,Чоловік,2004-10-05,Фотограф,село Перевальськ,"вулиця Ковалевського, буд. 40, Сокиряни, 14493",+380 34 710 28 82,hievtushenko@example.com
Дубина,Давид,Павлович,Чоловік,1982-11-27,Зоолог,хутір Хотин,"узвіз Молодіжна, буд. 278, Тячів, 80896",+380 18 967-51-79,prokhirkovalenko@example.org
Іваненко,Орест,Дмитрович,Чоловік,1958-11-04,Правник,село Алчевськ,"шосе Ф. Пішеніна, буд. 29, Тетіїв, 68727",366 60 78,roksolanaavramenko@example.net
Лемешко,Франц,Богданович,Чоловік,1986-05-22,Золотар,хутір Коломия,"проспект Лінія 38-ма, буд. 82 кв. 372, Волноваха, 87140",+380 09 564-88-60,romanetsvolodymyr@example.net
Демиденко,Дан,Макарович,Чоловік,1961-12-02,Адвокат,хутір Ржищів,"набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 340, Ровеньки, 32881",334 72 50,tlaba@example.net
Олійник,Борислав,Володимирович,Чоловік,1982-02-24,Літературознавець,місто Новодружеськ,"площа Нечипуренка, буд. 996 кв. 90, Мостиська, 33797",705-06-65,vladyslav38@example.com
Цимбал,Давид,Вікторович,Чоловік,1977-03-02,Дантист,хутір Сніжне,"узвіз Флотський 1-й, буд. 028, Березань , 43609",+380 22 533-13-98,opanasbashtan@example.net
Наливайко,Святослав,Романович,Чоловік,1947-09-27,Електрослюсар,місто Олешки,"вулиця Вишневий, буд. 948 кв. 0, Новомиргород, 45776",+380 00 115 98 60,martaandriienko@example.com
Бабʼюк,Дмитро,Вікторович,Чоловік,1954-04-16,Конструктор,хутір Біляївка,"провулок Перемоги, буд. 2, Теплодар, 86615",268-84-58,flytvynenko@example.org
Андрієвич,Сергій,Богданович,Чоловік,1959-11-17,Промисловець,хутір Гуляйполе,"набережна Польова, буд. 64 кв. 5, Чигирин, 88168",009 050-93-63,antonshchyrytsia@example.net
Ляшко,Валерій,Васильович,Чоловік,2006-04-05,Графік,хутір Луцьк,"шосе Матюшенка, буд. 6 кв. 434, Носівка, 25967",685 19 21,adutka@example.net
Яковенко,Степан,Олександрович,Чоловік,1940-05-28,Фотограф,хутір Рахів,"провулок Садова 6-та, буд. 396 кв. 11, Тернівка , 80881",589-15-98,fdanchenko@example.net
Конопленко,Зорян,Іванович,Чоловік,1953-02-09,Кур'єр,хутір Моспине,"набережна Тракторна, буд. 27, Південне , 60072",026 86 75,oryna44@example.com
Дробʼязко,Опанас,Володимирович,Чоловік,1954-07-31,Водій,хутір Миронівка,"проспект Шостої 1-й, буд. 15 кв. 9, Ланівці, 15026",+380 38 517-08-41,iosyprudko@example.net
Бабʼюк,Остап,Андрійович,Чоловік,2003-10-31,Електрик,село Малин,"вулиця Пересипська 9-та, буд. 406 кв. 51, Сватове, 92396",647 18 19,deisunbohuslav@example.org
Литвиненко,Єфрем,Андрійович,Чоловік,1998-11-09,Машиніст,місто Вишгород,"вулиця Спаський, буд. 0 кв. 7, Мукачево, 05760",232-45-53,marynabebeshko@example.org
Левченко,Петро,Романович,Чоловік,1996-11-10,Мікробіолог,хутір Алмазна,"вулиця Італійський, буд. 2 кв. 91, Молочанськ, 83642",+380 77 542 54 85,svernyhora@example.com
Башполченко,Павло,Федорович,Чоловік,1999-12-06,М'ясник,хутір Гайсин,"набережна Ширяївський, буд. 014, Южне, 84613",092 117-97-03,derkachavhustyn@example.net
Балабан,Борис,Олександрович,Чоловік,1969-01-22,Електромонтер,селище Полонне,"вулиця Палубний, буд. 474 кв. 832, Угнів, 17314",067 182 30 73,tesliaprokhir@example.com
Верховинець,Прохір,Федорович,Чоловік,1963-07-01,Графік,село Городище ,"сквер Байдарочний, буд. 3 кв. 0, Переяслав, 69497",+380 49 127-16-29,hoholleonid@example.net
Бабак,Панас,Васильович,Чоловік,1972-05-20,Бухгалтер,село Новодністровськ,"парк Тролейбусна, буд. 96, Покров, 50807",050 547-69-08,ruslan44@example.net
Захаренко,Герман,Григорович,Чоловік,1940-05-06,Астрофізик,місто Корсунь-Шевченківський,"площа Костанді 2-й, буд. 1, Сколе, 19947",+380 29 994-68-80,anzhela34@example.net
Охримович,Августин,Вікторович,Чоловік,1985-05-26,Державний службовець,хутір Сорокине,"провулок Шишкіна 2-й, буд. 858, Мелітополь, 73142",+380 97 109 10 08,eibozhenkostefan@example.org
Атаманчук,Спас,Михайлович,Чоловік,1972-12-24,Пілот,село Гайворон,"вулиця Уманська, буд. 7, Докучаєвськ, 21276",+380 43 453-86-35,ihnatbabenko@example.com
Литвиненко,Мартин,Олексійович,Чоловік,1967-10-23,Палеонтолог,місто Балта,"парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 620, Миронівка, 04548",035 411 98 79,dankoaaron@example.org
Чаленко,Арсен,Михайлович,Чоловік,1971-03-06,Хореограф,селище Синельникове,"провулок Архітектурна, буд. 153 кв. 67, Вашківці, 94597",+380 29 077 99 77,havrylodatsiuk@example.org
Чарниш,Назар,Вікторович,Чоловік,1938-11-06,Маркетолог,хутір Вашківці,"шосе 8-ма Суворовська, буд. 09 кв. 0, Деражня, 55016",268 82 25,nadiia46@example.org
Акуленко,Андрій,Олексійович,Чоловік,1992-04-10,Дантист,хутір Сторожинець,"вулиця Новікова 2-га, буд. 6, Нова Каховка, 31593",+380 (66) 944-58-29,roman43@example.net
Дуплій,Роман,Олексійович,Чоловік,1942-08-20,Клоун,селище Христинівка,"шосе Думська, буд. 8 кв. 4, Тячів, 46420",476-19-95,antonorobets@example.org
Сіробаба,Прохір,Андрійович,Чоловік,1978-08-10,Клавішник,місто Боково-Хрустальне,"шосе Чернишевського, буд. 5 кв. 25, Рава-Руська, 95819",+380 07 140-94-39,zabarnaamaliia@example.com
Данько,Давид,Вікторович,Чоловік,1974-01-21,Дерун,селище Славута,"парк Лінія 55-та, буд. 62, Євпаторія, 15950",+380 47 018-62-02,lukiancharnysh@example.com
Баранник,Марко,Федорович,Чоловік,2006-07-11,Астроном,хутір Стрий,"провулок Буніна, буд. 379 кв. 613, Новоукраїнка, 63803",593-61-66,banderaiaroslav@example.net
Архимович,Опанас,Макарович,Чоловік,2004-01-22,Економіст,село Немирів,"проспект Глазунова 1-й, буд. 9 кв. 5, Горохів, 97927",+380 56 030-90-30,varvarailienko@example.net
Данилюк,Сергій,Петрович,Чоловік,1941-09-08,Палеонтолог,хутір Борщів,"вулиця Залізнична, буд. 1 кв. 0, Володимир-Волинський, 62693",071 066 36 48,danylo09@example.com
Пʼятаченко,Георгій,Григорович,Чоловік,1945-03-11,Дипломат,хутір Очаків,"набережна Вокзальний, буд. 680, Андрушівка, 90516",+380 08 235-71-20,lmykhailiuk@example.net
Макогон,Борис,Федорович,Чоловік,1977-02-21,Електрик,селище Шепетівка,"узвіз Сегедська, буд. 92 кв. 073, Кролевець, 89923",+380 52 096-99-20,makohonmykhailo@example.org
Цимбал,Болеслав,Романович,Чоловік,1941-06-06,Кіноактор,село Гадяч,"шосе Травневий 4-й, буд. 63, Копичинці, 67643",027 247 21 13,skyrdaruslan@example.com
Ребрик,Євген,Павлович,Чоловік,2007-01-06,Фотограф,місто Олександрія,"парк Кримська, буд. 21 кв. 7, Герца, 48237",+380 (21) 217-22-53,havrylyshynvolodymyra@example.org
Гречко,Алевтин,Вікторович,Чоловік,1971-08-03,Державний службовець,село Новомосковськ,"сквер Лінія 46-та, буд. 496 кв. 0, Почаїв, 13954",+380 88 247-31-55,davdieienko@example.org
Вдовиченко,Станіслав,Романович,Чоловік,1989-09-08,Ґрунтознавець,місто Кам'янка (Черкаська область),"шосе Мельницька, буд. 854, Шепетівка, 91460",709-85-83,ielysaveta30@example.org
Удовиченко,Дмитро,Макарович,Чоловік,2002-09-02,Математик,місто Харцизьк,"парк Поштова, буд. 092, Іллінці, 13639",+380 45 796-14-44,zabilamyroslav@example.org
Тимчук,Данило,Дмитрович,Чоловік,1950-08-06,Електромонтер,хутір Баранівка,"узвіз Красна, буд. 5 кв. 9, Снятин, 51347",+380 85 471-29-52,vira66@example.com
Шелест,Яків,Сергійович,Чоловік,1983-06-23,Вчитель,місто Берегове,"провулок Лінія 31-ша, буд. 285, Новоазовськ, 35045",000 511 83 43,cdrozdenko@example.org
Адамчук,Ярослав,Романович,Чоловік,1990-04-28,Водій,місто Жовква,"парк Кипарисний 2-й, буд. 77, Жидачів, 89643",078 795 93 39,iosypartiushenko@example.org
Євтушок,Теодор,Вікторович,Чоловік,1969-12-12,Фольклорист,село Чигирин,"проспект Пілотна, буд. 304 кв. 5, Умань, 76009",+380 98 437 39 43,zakharchornovil@example.org
Гаврилюк,Варфоломій,Макарович,Чоловік,1964-10-03,Фотограф,хутір Березань ,"узвіз Профспілкова, буд. 1 кв. 35, Погребище, 56940",+380 (22) 762-46-20,mykhailo51@example.net
Чуйко,Ігор,Григорович,Чоловік,1938-10-02,Маркетолог,селище Алчевськ,"проспект Сухолиманна, буд. 277, Кролевець, 04421",+380 66 643-51-16,ievtushokpanas@example.net
Жайворон,Богдан,Михайлович,Чоловік,1943-07-04,Бухгалтер,хутір Городня,"шосе Отрада, буд. 3 кв. 72, Тисмениця, 94236",087 40 30,eduard50@example.org
Яремків,Омелян,Олексійович,Чоловік,2000-07-18,Ботанік,селище Ясинувата,"сквер Овідіопольська дуга, буд. 023, Дубно, 01341",+380 87 358 76 70,ielysavetaierchenko@example.net
Акуленко,Тимофій,Федорович,Чоловік,1992-04-17,Патологоанатом,селище Зеленодольськ,"узвіз 7-ма Лінія Дачі Ковалевського, буд. 68, Вашківці, 41666",979 87 66,amaliia02@example.com
Михайличенко,Симон,Олегович,Чоловік,1958-04-14,Графік,хутір Ямпіль,"провулок Проточний, буд. 0, Молочанськ, 34649",260 58 18,vasylechkoles@example.net
Овсієнко,Мирон,Вікторович,Чоловік,1947-02-19,Парфюмер,хутір Оріхів,"шосе Патріотична, буд. 24 кв. 87, Очаків, 52977",290-52-22,kbabak@example.com
Скирда,Опанас,Юрійович,Чоловік,1966-03-17,Сценарист,селище Соснівка ,"площа Лінія 55-та, буд. 393 кв. 7, Косів, 63748",246-22-71,danylchuksviatoslav@example.net
Байдак,Тарас,Федорович,Чоловік,1968-08-14,Дипломат,місто Харків,"вулиця Бучми, буд. 88 кв. 367, Нікополь, 09668",123-79-98,ikalenychenko@example.net
Жарко,Охрім,Сергійович,Чоловік,1978-01-11,Клоун,хутір Заліщики,"шосе 14-та Суворовська, буд. 72, Горішні Плавні, 02568",069 488 52 50,iosyp90@example.org
